unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.67851E+12,3/11/2023 5:00,BTC/USD,20400,20495,20370,20465,1472839.539,71.96870455
1.67851E+12,3/11/2023 4:00,BTC/USD,20498,20499,20373,20399,6033557.42,295.7771175
1.6785E+12,3/11/2023 3:00,BTC/USD,20572,20582,20400,20498,14265807.96,695.96097
1.6785E+12,3/11/2023 2:00,BTC/USD,20693,20736,20466,20570,11003675.22,534.9380272
1.6785E+12,3/11/2023 1:00,BTC/USD,20303,20789,20303,20693,8372076.373,404.5849501
1.67849E+12,3/11/2023 0:00,BTC/USD,20200,20367,20185,20303,17588641.2,866.3075012
1.67849E+12,3/10/2023 23:00,BTC/USD,20141,20308,20133,20201,20150314.21,997.4909267
1.67849E+12,3/10/2023 22:00,BTC/USD,20109,20214,20057,20138,4302223.991,213.6371035
1.67848E+12,3/10/2023 21:00,BTC/USD,20000,20150,19873,20110,1917479.089,95.34953202
1.67848E+12,3/10/2023 20:00,BTC/USD,20042,20085,19967,20000,612071.9372,30.60359686
1.67847E+12,3/10/2023 19:00,BTC/USD,19869,20086,19869,20042,1445416.835,72.11939105
1.67847E+12,3/10/2023 18:00,BTC/USD,19946,20022,19841,19867,769605.4103,38.7378774
1.67847E+12,3/10/2023 17:00,BTC/USD,20040,20100,19859,19943,2240500.557,112.3452117
1.67846E+12,3/10/2023 16:00,BTC/USD,20029,20327,19965,20039,6460283.502,322.3855233
1.67846E+12,3/10/2023 15:00,BTC/USD,19838,20063,19794,20032,6229536.078,310.9792371
1.67846E+12,3/10/2023 14:00,BTC/USD,20202,20207,19673,19840,3811026.534,192.088031
1.67845E+12,3/10/2023 13:00,BTC/USD,19950,20320,19899,20199,4038627.087,199.9419321
1.67845E+12,3/10/2023 12:00,BTC/USD,19778,20004,19749,19952,1891460.257,94.80053415
1.67845E+12,3/10/2023 11:00,BTC/USD,19628,19812,19592,19773,1799929.376,91.02965537
1.67844E+12,3/10/2023 10:00,BTC/USD,19870,19926,19600,19640,6606211.1,336.3651273
1.67844E+12,3/10/2023 9:00,BTC/USD,19968,19979,19851,19871,1231337.744,61.96657161
1.67844E+12,3/10/2023 8:00,BTC/USD,19961,19983,19898,19968,1070994.974,53.63556559
1.67843E+12,3/10/2023 7:00,BTC/USD,19884,20049,19790,19961,2185218.689,109.4744095
1.67843E+12,3/10/2023 6:00,BTC/USD,20001,20034,19852,19884,1687912.844,84.88799254
1.67842E+12,3/10/2023 5:00,BTC/USD,19879,20046,19868,20004,2077243.18,103.8413907
1.67842E+12,3/10/2023 4:00,BTC/USD,20065,20072,19850,19881,3588564.727,180.5022246
1.67842E+12,3/10/2023 3:00,BTC/USD,20052,20143,19997,20066,872782.6209,43.49559558
1.67841E+12,3/10/2023 2:00,BTC/USD,20126,20147,20046,20052,1353066.476,67.47788133
1.67841E+12,3/10/2023 1:00,BTC/USD,20132,20163,19776,20123,8364410.226,415.6641766
1.67841E+12,3/10/2023 0:00,BTC/USD,20381,20382,20070,20133,8373468.492,415.9076388
1.6784E+12,3/9/2023 23:00,BTC/USD,20364,20392,20304,20381,2187629.675,107.3367192
1.6784E+12,3/9/2023 22:00,BTC/USD,20244,20499,20240,20364,2115184.43,103.8688092
1.6784E+12,3/9/2023 21:00,BTC/USD,20134,20430,20134,20244,3408688.258,168.3801748
1.67839E+12,3/9/2023 20:00,BTC/USD,20870,20883,20086,20135,22596410.4,1122.245364
1.67839E+12,3/9/2023 19:00,BTC/USD,21025,21025,20800,20870,6351312.723,304.3273945
1.67838E+12,3/9/2023 18:00,BTC/USD,21483,21499,21000,21027,20591161.65,979.2724427
1.67838E+12,3/9/2023 17:00,BTC/USD,21485,21533,21407,21481,3603311.756,167.7441346
1.67838E+12,3/9/2023 16:00,BTC/USD,21657,21679,21437,21486,3775641.751,175.7256703
1.67837E+12,3/9/2023 15:00,BTC/USD,21734,21814,21653,21657,694822.4326,32.08304163
1.67837E+12,3/9/2023 14:00,BTC/USD,21712,21836,21701,21729,2148662.027,98.88453342
1.67837E+12,3/9/2023 13:00,BTC/USD,21618,21728,21572,21711,1312313.777,60.44464912
1.67836E+12,3/9/2023 12:00,BTC/USD,21674,21674,21616,21617,288967.9457,13.36762482
1.67836E+12,3/9/2023 11:00,BTC/USD,21659,21674,21631,21674,1546600.881,71.35742738
1.67836E+12,3/9/2023 10:00,BTC/USD,21644,21689,21533,21660,2230536.925,102.9795441
1.67835E+12,3/9/2023 9:00,BTC/USD,21691,21703,21600,21643,1233116.009,56.97528111
1.67835E+12,3/9/2023 8:00,BTC/USD,21691,21701,21617,21691,844956.565,38.95424669
1.67835E+12,3/9/2023 7:00,BTC/USD,21746,21746,21675,21691,297442.5844,13.71271884
1.67834E+12,3/9/2023 6:00,BTC/USD,21743,21748,21703,21747,451229.6773,20.749054
1.67834E+12,3/9/2023 5:00,BTC/USD,21745,21759,21739,21742,174661.723,8.03337885
